text_raw,text_clean,text_id_only,text_normalized,text_final,tokens_final,english_removed_count,english_removed_ratio,stopwords_removed_count
"Kegiatan ini bertujuan untuk memperkuat sinergi antar lembaga penyelenggara pemilu dalam memastikan data partai politik tersusun dengan baik, mutakhir, dan sesuai kebutuhan proses kepemiluan. https://t.co/aR7lTcyaIj",kegiatan ini bertujuan untuk memperkuat sinergi antar lembaga penyelenggara pemilu dalam memastikan data partai politik tersusun dengan baik mutakhir dan sesuai kebutuhan proses kepemiluan,kegiatan ini bertujuan untuk memperkuat sinergi antar lembaga penyelenggara pemilu dalam memastikan data partai politik tersusun dengan baik mutakhir dan sesuai kebutuhan proses kepemiluan,kegiatan ini bertujuan untuk memperkuat sinergi antar lembaga penyelenggara pemilu dalam memastikan data partai politik tersusun dengan baik mutakhir dan sesuai kebutuhan proses kepemiluan,giat tuju kuat sinergi lembaga selenggara milu data partai politik susun mutakhir sesuai butuh proses milu,giat tuju kuat sinergi lembaga selenggara milu data partai politik susun mutakhir sesuai butuh proses milu,0,0.0,8
@askDika anggota dpr yg kayak gini tulung di list trus menjelang pemilu dipublikasikan (nama berikut kelakuan negatifnya) biar rakyat ndak ketipu brosur.,anggota dpr yg kayak gini tulung di list trus menjelang pemilu dipublikasikan nama berikut kelakuan negatifnya biar rakyat ndak ketipu brosur,anggota dpr yg kayak gini tulung di list trus menjelang pemilu dipublikasikan nama berikut kelakuan negatifnya biar rakyat ndak ketipu brosur,anggota dpr yang seperti begini tulung di list terus menjelang pemilu dipublikasikan nama berikut kelakuan negatifnya biar rakyat ndak ketipu brosur,anggota dpr tulung list jelang milu publikasi nama laku negatif biar rakyat ndak tipu brosur,anggota dpr tulung list jelang milu publikasi nama laku negatif biar rakyat ndak tipu brosur,0,0.0,6
"@budi_dhrc @riskaayurinjani @Dennysiregar7 Yg gak sabar itu kubu-kebo, mrk ikut2an kubu onta mainin isu ijazah palsu, hanya gara2 JKW undur diri dari parte mrk.
Pdhal slama beliau ikut pemilu statusnya kan sbg kader banteng.
Pastinya tau donk ijazahnya asli atau palsu, xixixi!
😜🤭😝",yg gak sabar itu kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu hanya gara2 jkw undur diri dari parte mrk pdhal slama beliau ikut pemilu statusnya kan sbg kader banteng pastinya tau donk ijazahnya asli atau palsu xixixi,yg gak sabar itu kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu hanya gara2 jkw undur diri dari parte mrk pdhal slama beliau ikut pemilu statusnya kan sbg kader banteng pastinya tau donk ijazahnya asli atau palsu xixixi,yang tidak sabar itu kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu hanya gara2 jkw undur diri dari parte mrk pdhal slama beliau ikut pemilu statusnya kan sebagai kader banteng pastinya tahu dong ijazahnya asli atau palsu xixixi,sabar kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu gara2 jkw undur parte mrk pdhal slama beliau milu status kader banteng pasti ijazah asli palsu xixixi,sabar kubu-kebo mrk ikut2an kubu onta mainin isu ijazah palsu gara2 jkw undur parte mrk pdhal slama beliau milu status kader banteng pasti ijazah asli palsu xixixi,0,0.0,12
"@nct_menfess Kenapa sih rakyat taunya pas udh ketok palu aja??? Diem2 ngesahin undang2 
Konyol bgt negara ini, sama rakyat sendiri aja takut tapi tetep minta suara rakyat kalo lg pemilu 
#TolakRKUHAP  
#SemuaBisaKena",kenapa sih rakyat taunya pas udh ketok palu aja diem2 ngesahin undang2 konyol bgt negara ini sama rakyat sendiri aja takut tapi tetep minta suara rakyat kalo lg pemilu,kenapa sih rakyat taunya pas udh ketok palu aja diem2 ngesahin undang2 konyol bgt negara ini sama rakyat sendiri aja takut tapi tetep minta suara rakyat kalo lg pemilu,mengapa sih rakyat taunya pas sudah ketok palu saja diem2 ngesahin undang2 konyol sangat negara ini sama rakyat sendiri saja takut tapi tetep minta suara rakyat kalau lagi pemilu,rakyat tau pas ketok palu diem2 ngesahin undang2 konyol negara rakyat takut tetep suara rakyat milu,rakyat tau pas ketok palu diem2 ngesahin undang2 konyol negara rakyat takut tetep suara rakyat milu,0,0.0,13
@ysznprd @BuayaEmpang masalah kantong jebol abis pemilu wkwk,masalah kantong jebol abis pemilu wkwk,masalah kantong jebol abis pemilu wkwk,masalah kantong jebol abis pemilu wkwk,kantong jebol abis milu wkwk,kantong jebol abis milu wkwk,0,0.0,1
"30 org yang meninggal dibilang pemilu maut, di konoha sekitar 700 org anggota kpps meninggal biasa2 saja tuh!!!  
 Potret Pemilu Maut Renggut 30 Nyawa, Tanzania Lockdown https://t.co/OIO9E4T0Yd",30 org yang meninggal dibilang pemilu maut di konoha sekitar 700 org anggota kpps meninggal biasa2 saja tuh potret pemilu maut renggut 30 nyawa tanzania lockdown,30 org yang meninggal dibilang pemilu maut di konoha sekitar 700 org anggota kpps meninggal biasa2 saja tuh potret pemilu maut renggut 30 nyawa,30 orang yang meninggal dibilang pemilu maut di konoha sekitar 700 orang anggota kpps meninggal biasa2 saja tuh potret pemilu maut renggut 30 nyawa,30 orang tinggal bilang milu maut konoha 700 orang anggota kpps tinggal biasa2 potret milu maut renggut 30 nyawa,30 orang tinggal bilang milu maut konoha 700 orang anggota kpps tinggal biasa2 potret milu maut renggut 30 nyawa,2,0.07692307692307693,5
"""Jgn pilih lg."" pemilu depan pd dikasih 50rb jg pada nyoblos dia lg.",jgn pilih lg pemilu depan pd dikasih 50rb jg pada nyoblos dia lg,jgn pilih lg pemilu depan pd dikasih 50rb jg pada nyoblos dia lg,jangan pilih lagi pemilu depan pada dikasih 50rb jg pada nyoblos dia lagi,pilih milu kasih 50rb jg nyoblos,pilih milu kasih 50rb jg nyoblos,0,0.0,7
@ARSIPAJA Emang 2029 ada pemilu?,emang 2029 ada pemilu,emang 2029 ada pemilu,memang 2029 ada pemilu,2029 milu,2029 milu,0,0.0,2
"""Udah lah sekarang udah bukan pemilu lagi gak usah dibawa-bawa lagi.""

Nah, fuck y'all, I don't even care if you are a friend or family, y'all who voted for him can go rot in hell!",udah lah sekarang udah bukan pemilu lagi gak usah dibawa-bawa lagi nah fuck y all i don t even care if you are a friend or family y all who voted for him can go rot in hell,udah lah sekarang udah bukan pemilu lagi gak usah dibawa-bawa lagi y t y in,sudah lah sekarang sudah bukan pemilu lagi tidak usah dibawa-bawa lagi ya t ya in,milu bawa ya ya in,milu bawa ya ya in,23,0.6052631578947368,10
@Renei gaada lah vote vote itu noona ini bukan pemilu.,gaada lah vote vote itu noona ini bukan pemilu,gaada lah itu noona ini bukan pemilu,tidak ada lah itu noona ini bukan pemilu,noona milu,noona milu,2,0.2222222222222222,6
"@Boediantar4 Kalau hasil pemilu dilakukan terbuka dgn melibatkan ahli2 independen mgkn akan terbuka jg boroknya, tp sayang ditutupi oleh manusia2 curang yg rakus",kalau hasil pemilu dilakukan terbuka dgn melibatkan ahli2 independen mgkn akan terbuka jg boroknya tp sayang ditutupi oleh manusia2 curang yg rakus,kalau hasil pemilu dilakukan terbuka dgn melibatkan ahli2 independen mgkn akan terbuka jg boroknya tp sayang ditutupi oleh manusia2 curang yg rakus,kalau hasil pemilu dilakukan terbuka dengan melibatkan ahli2 independen mgkn akan terbuka jg boroknya tapi sayang ditutupi oleh manusia2 curang yang rakus,hasil milu buka libat ahli2 independen mgkn buka jg borok sayang tutup manusia2 curang rakus,hasil milu buka libat ahli2 independen mgkn buka jg borok sayang tutup manusia2 curang rakus,0,0.0,7
